Source,Target,Weight,Type
Doyle_ A_SCANDAL_IN_BOHEMIA,Doyle_hound_of_the_baskervilles,1,undirected
Doyle_ A_SCANDAL_IN_BOHEMIA,Doyle_sign_of_the_four,2,undirected
Doyle_ A_SCANDAL_IN_BOHEMIA,Doyle_study_in_scarlett,3,undirected
Doyle_ A_SCANDAL_IN_BOHEMIA,gaiman_study_in_emerald,1,undirected
Doyle_hound_of_the_baskervilles,Doyle_ A_SCANDAL_IN_BOHEMIA,1,undirected
Doyle_hound_of_the_baskervilles,Doyle_sign_of_the_four,4,undirected
Doyle_hound_of_the_baskervilles,Doyle_study_in_scarlett,3,undirected
Doyle_hound_of_the_baskervilles,Doyle_THE_VALLEY_OF_FEAR,6,undirected
Doyle_hound_of_the_baskervilles,gaiman_study_in_emerald,2,undirected
Doyle_sign_of_the_four,Doyle_ A_SCANDAL_IN_BOHEMIA,2,undirected
Doyle_sign_of_the_four,Doyle_hound_of_the_baskervilles,4,undirected
Doyle_sign_of_the_four,Doyle_study_in_scarlett,6,undirected
Doyle_sign_of_the_four,Doyle_THE_VALLEY_OF_FEAR,3,undirected
Doyle_study_in_scarlett,Doyle_ A_SCANDAL_IN_BOHEMIA,3,undirected
Doyle_study_in_scarlett,Doyle_hound_of_the_baskervilles,3,undirected
Doyle_study_in_scarlett,Doyle_sign_of_the_four,6,undirected
Doyle_study_in_scarlett,Doyle_THE_VALLEY_OF_FEAR,2,undirected
Doyle_study_in_scarlett,gaiman_study_in_emerald,3,undirected
Doyle_THE_VALLEY_OF_FEAR,Doyle_hound_of_the_baskervilles,6,undirected
Doyle_THE_VALLEY_OF_FEAR,Doyle_sign_of_the_four,3,undirected
Doyle_THE_VALLEY_OF_FEAR,Doyle_study_in_scarlett,2,undirected
gaiman_study_in_emerald,Doyle_ A_SCANDAL_IN_BOHEMIA,1,undirected
gaiman_study_in_emerald,Doyle_hound_of_the_baskervilles,2,undirected
gaiman_study_in_emerald,Doyle_study_in_scarlett,3,undirected
lovecraft__Beyond_the_Wall_of_Sleep,lovecraft_At_the_Mountains_of_Madness,3,undirected
lovecraft__Beyond_the_Wall_of_Sleep,lovecraft_Azathoth,2,undirected
lovecraft__Beyond_the_Wall_of_Sleep,lovecraft_Celephais,1,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft__Beyond_the_Wall_of_Sleep,3,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft_At_the_Mountains_of_Madness,6,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft_Azathoth,5,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft_Celephais,4,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft_History_of_the_Necronomicon,3,undirected
lovecraft_At_the_Mountains_of_Madness,lovecraft_The_dunwich_terror,3,undirected
lovecraft_Azathoth,lovecraft__Beyond_the_Wall_of_Sleep,2,undirected
lovecraft_Azathoth,lovecraft_At_the_Mountains_of_Madness,5,undirected
lovecraft_Azathoth,lovecraft_Azathoth,4,undirected
lovecraft_Azathoth,lovecraft_Celephais,3,undirected
lovecraft_Azathoth,lovecraft_History_of_the_Necronomicon,2,undirected
lovecraft_Azathoth,lovecraft_The_dunwich_terror,2,undirected
lovecraft_Celephais,lovecraft__Beyond_the_Wall_of_Sleep,1,undirected
lovecraft_Celephais,lovecraft_At_the_Mountains_of_Madness,4,undirected
lovecraft_Celephais,lovecraft_Azathoth,3,undirected
lovecraft_Celephais,lovecraft_Celephais,2,undirected
lovecraft_Celephais,lovecraft_History_of_the_Necronomicon,1,undirected
lovecraft_Celephais,lovecraft_The_dunwich_terror,1,undirected
lovecraft_History_of_the_Necronomicon,lovecraft_At_the_Mountains_of_Madness,3,undirected
lovecraft_History_of_the_Necronomicon,lovecraft_Azathoth,2,undirected
lovecraft_History_of_the_Necronomicon,lovecraft_Celephais,1,undirected
lovecraft_The_dunwich_terror,lovecraft_At_the_Mountains_of_Madness,3,undirected
lovecraft_The_dunwich_terror,lovecraft_Azathoth,2,undirected
lovecraft_The_dunwich_terror,lovecraft_Celephais,1,undirected
