"Doyle_ A_SCANDAL_IN_BOHEMIA" "Doyle_hound_of_the_baskervilles" "Doyle_sign_of_the_four" "Doyle_study_in_scarlett" "Doyle_THE_VALLEY_OF_FEAR" "gaiman_study_in_emerald" "lovecraft__Beyond_the_Wall_of_Sleep" "lovecraft_At_the_Mountains_of_Madness" "lovecraft_Azathoth" "lovecraft_Celephais" "lovecraft_History_of_the_Necronomicon" "lovecraft_The_dunwich_terror"
"-pron-" 13.59112229722 13.0491923275274 13.0671217292378 12.3811464276012 13.2125317527519 13.3108361454818 9.22509225092251 9.22509225092251 9.22509225092251 9.22509225092251 9.22509225092251 9.22509225092251
"the" 5.12527170804256 5.56137811714994 5.36063708759955 5.74345739382414 5.55122777307367 6.11173603299588 5.53505535055351 5.53505535055351 5.53505535055351 5.53505535055351 5.53505535055351 5.53505535055351
"be" 4.39309003546505 4.29205968957429 4.17974971558589 4.09309064565788 4.74513124470788 3.69953755780527 2.69833948339483 2.69833948339483 2.69833948339483 2.69833948339483 2.69833948339483 2.69833948339483
"and" 2.95160736757808 2.71165011395585 2.70534698521047 3.07434573938241 2.44877222692633 3.08711411073616 3.27490774907749 3.27490774907749 3.27490774907749 3.27490774907749 3.27490774907749 3.27490774907749
"of" 2.74568127216566 2.66839679925471 2.580204778157 2.75740287965227 2.45385266723116 2.33720784901887 3.96678966789668 3.96678966789668 3.96678966789668 3.96678966789668 3.96678966789668 3.96678966789668
"to" 2.90584601304199 2.41220408910183 2.49601820250284 2.48347369374264 2.18289585097375 2.27471566054243 2.2140221402214 2.2140221402214 2.2140221402214 2.2140221402214 2.2140221402214 2.2140221402214
"a" 2.58551653128933 2.17431085824558 2.50056882821388 2.28425246762655 2.25740897544454 2.68716410448694 2.07564575645756 2.07564575645756 2.07564575645756 2.07564575645756 2.07564575645756 2.07564575645756
"have" 1.70461045646951 2.09279499592421 1.86348122866894 2.01937879199493 1.99322607959356 1.97475315585552 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605
"that" 1.18979521793845 1.90314584684999 1.43572241183163 1.5235896042742 1.8272650296359 1.39982502187227 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605 1.66051660516605
"in" 1.7961331655417 1.5171931925937 1.55403868031854 1.64583899302726 1.54614733276884 1.73728283964504 2.02952029520295 2.02952029520295 2.02952029520295 2.02952029520295 2.02952029520295 2.02952029520295
"with" 0.777943027113603 0.733642760892349 0.875995449374289 0.76066286335235 0.756985605419136 0.637420322459692 0.622693726937269 0.622693726937269 0.622693726937269 0.622693726937269 0.622693726937269 0.622693726937269
"not" 0.80082370438165 0.793531965863153 0.618885096700796 0.613510821334782 0.841659610499577 0.912385951756031 0.691881918819188 0.691881918819188 0.691881918819188 0.691881918819188 0.691881918819188 0.691881918819188
"for" 0.549136254433131 0.700370980353014 0.67349260523322 0.715385311962329 0.821337849280271 0.687414073240845 0.80719557195572 0.80719557195572 0.80719557195572 0.80719557195572 0.80719557195572 0.80719557195572
"as" 0.709300995309461 0.677080733975479 0.748577929465301 0.756135108213348 0.670618120237087 0.549931258592676 0.922509225092251 0.922509225092251 0.922509225092251 0.922509225092251 0.922509225092251 0.922509225092251
"at" 0.709300995309461 0.605546405815907 0.787258248009101 0.726704699809834 0.631668077900085 0.499937507811524 0.553505535055351 0.553505535055351 0.553505535055351 0.553505535055351 0.553505535055351 0.553505535055351
